,id,host_acceptance_rate,host_is_superhost,neighbourhood,latitude,longitude,room_type,accommodates,bedrooms,beds,amenities,price_in_dollar,minimum_nights,maximum_nights,has_availability,availability_30,number_of_reviews_l30d,review_scores_rating,instant_bookable,price_in_euros,price_per_person,minimum_price,discount_per_5_days_booked,discount_per_10_days_booked,discount_per_30_and_more_days_booked,service_cost,neighborhood,available
226,957396,0.1,False,IJburg - Zeeburgereiland,52.36073,4.98005,Entire home/apt,6,3,5,16,$300.00,3,365,True,0,0,4.91,False,,50.0,900.0,10%,23%,18%,4.99,IJburg - Zeeburgereiland,0.42191780821917807
227,963328,0.74,True,Centrum-West,52.36561,4.88492,Private room,2,1,1,3,$96.00,3,125,True,2,9,4.81,False,,48.0,288.0,6%,12%,14%,4.99,Centrum-West,0.06575342465753424
228,964986,0.14,False,De Pijp - Rivierenbuurt,52.35531,4.90333,Entire home/apt,4,2,3,16,$355.00,3,365,True,0,0,5.0,False,,88.75,1065.0,7%,30%,26%,4.99,De Pijp - Rivierenbuurt,0.26301369863013696
229,969862,0.79,False,Zuid,52.34176,4.84782,Private room,2,1,2,1,$95.00,2,7,True,7,2,4.68,False,,47.5,190.0,4%,12%,15%,4.99,Zuid,0.7452054794520548
230,974240,0.7,True,Zuid,52.35049,4.84686,Private room,2,1,1,6,$81.00,2,7,True,3,7,4.96,False,,40.5,162.0,6%,10%,17%,4.99,Zuid,0.03561643835616438
231,978852,0.6,False,De Baarsjes - Oud-West,52.37225,4.86262,Private room,2,1,1,2,$32.00,28,1124,True,0,0,3.6799999999999997,True,,16.0,896.0,10%,9%,13%,0.99,De Baarsjes - Oud-West,0.0
232,982907,0.64,False,Oostelijk Havengebied - Indische Buurt,52.37,4.95127,Entire home/apt,4,2,2,5,$145.00,5,1125,True,2,0,4.78,False,,36.25,725.0,9%,18%,15%,4.99,Oostelijk Havengebied - Indische Buurt,0.021917808219178082
233,985155,0.33,False,Centrum-Oost,52.37042,4.91535,Entire home/apt,3,2,2,6,$150.00,6,35,True,0,0,4.67,False,,50.0,900.0,9%,16%,19%,4.99,Centrum-Oost,0.0
234,987355,0.88,False,Centrum-West,52.37486,4.89338,Shared room,2,1,2,2,$83.00,2,30,True,6,4,4.53,True,,41.5,166.0,4%,12%,15%,4.99,Centrum-West,0.8054794520547945
235,989222,0.28,False,De Pijp - Rivierenbuurt,52.35082,4.8877,Entire home/apt,2,1,1,11,$190.00,6,21,True,0,2,4.72,False,,95.0,1140.0,7%,11%,20%,4.99,De Pijp - Rivierenbuurt,0.1506849315068493
236,995087,1.0,True,Westerpark,52.381615,4.877059,Private room,2,1,2,1,$73.00,3,28,True,5,5,4.51,True,,36.5,219.0,6%,10%,15%,2.99,Westerpark,0.410958904109589
237,998754,0.37,False,De Baarsjes - Oud-West,52.36728,4.85926,Entire home/apt,6,3,6,15,$429.00,1,1125,True,4,2,4.16,True,,71.5,429.0,5%,26%,24%,10.99,De Baarsjes - Oud-West,0.010958904109589041
238,998822,,False,Centrum-Oost,52.3643,4.89533,Entire home/apt,4,2,4,3,$153.00,2,120,True,0,0,4.85,True,,38.25,306.0,6%,17%,21%,4.99,Centrum-Oost,0.0
239,1005695,,False,Oud-Oost,52.35781,4.91027,Private room,2,1,1,5,$129.00,3,1125,True,0,0,4.8,False,,64.5,387.0,8%,16%,19%,4.99,Oud-Oost,0.6767123287671233
240,1008006,0.97,False,Westerpark,52.37998,4.86959,Private room,2,1,1,5,$123.00,3,30,True,2,1,4.79,False,,61.5,369.0,5%,17%,20%,4.99,Westerpark,0.7013698630136986
241,1008223,1.0,True,Slotervaart,52.36369,4.83861,Private room,2,1,1,4,$67.00,2,90,True,3,6,4.0600000000000005,False,,33.5,134.0,6%,12%,15%,2.99,Slotervaart,0.10410958904109589
242,1018639,0.2,False,Centrum-Oost,52.36181,4.88783,Private room,2,1,2,7,$136.00,3,1125,True,0,0,4.61,False,,68.0,408.0,7%,18%,19%,4.99,Centrum-Oost,0.0
243,1018703,1.0,True,De Pijp - Rivierenbuurt,52.35099,4.886627,Private room,2,1,1,8,$108.00,3,90,True,0,2,4.72,True,,54.0,324.0,6%,14%,17%,4.99,De Pijp - Rivierenbuurt,0.2
244,1020477,0.64,False,Centrum-West,52.37811,4.89196,Entire home/apt,2,1,1,13,$307.00,5,8,True,4,0,4.91,False,,153.5,1535.0,13%,24%,16%,4.99,Centrum-West,0.03287671232876712
245,1021538,0.5,False,Slotervaart,52.35166,4.83893,Entire home/apt,5,3,3,9,$249.00,7,20,True,0,0,5.0,False,,49.8,1743.0,10%,24%,19%,4.99,Slotervaart,0.12054794520547946
246,1025482,0.84,False,Oud-Noord,52.38355,4.90951,Private room,2,1,1,7,$108.00,2,60,True,4,10,4.81,True,,54.0,216.0,7%,12%,15%,4.99,Oud-Noord,0.6246575342465753
247,1036888,0.09,False,Westerpark,52.38624,4.87244,Entire home/apt,2,1,1,6,$148.00,3,7,True,1,0,4.81,False,,74.0,444.0,7%,14%,21%,4.99,Westerpark,0.3424657534246575
248,1037485,,False,De Baarsjes - Oud-West,52.36926,4.86997,Entire home/apt,4,2,2,15,$295.00,4,1125,True,0,0,4.94,False,,73.75,1180.0,13%,9%,28%,4.99,De Baarsjes - Oud-West,0.0
249,1038120,0.5,False,Westerpark,52.38865,4.88392,Entire home/apt,4,2,3,37,$950.00,2,14,True,0,0,4.680000000000001,True,,237.5,1900.0,8%,24%,34%,10.99,Westerpark,0.8410958904109589
250,1041309,0.72,False,Zuid,52.3543,4.88103,Entire home/apt,2,1,2,5,$143.00,4,45,True,1,0,4.94,False,,71.5,572.0,6%,12%,15%,4.99,Zuid,0.00821917808219178
251,1044448,0.24000000000000002,False,Centrum-Oost,52.36377,4.91788,Entire home/apt,4,2,5,23,$650.00,3,30,True,1,0,3.88,False,,162.5,1950.0,14%,29%,27%,10.99,Centrum-Oost,0.6876712328767123
252,1044452,0.8,False,Westerpark,52.38912,4.87907,Entire home/apt,2,1,1,3,$150.00,1,1,True,0,1,4.82,True,,75.0,150.0,9%,15%,19%,4.99,Westerpark,0.4246575342465753
253,1055703,1.0,True,De Baarsjes - Oud-West,52.36051,4.86451,Entire home/apt,6,3,3,12,$291.00,7,180,True,5,3,4.97,False,,48.5,2037.0,9%,27%,21%,4.99,De Baarsjes - Oud-West,0.6767123287671233
254,1057494,0.96,False,Zuid,52.34746,4.87559,Private room,2,1,1,1,$78.00,2,4,True,4,3,4.42,False,,39.0,156.0,6%,8%,16%,4.99,Zuid,0.04657534246575343
255,1058082,0.86,False,De Baarsjes - Oud-West,52.36324,4.8679,Entire home/apt,2,1,1,14,$392.00,5,30,True,0,1,4.88,False,,196.0,1960.0,9%,18%,24%,4.99,De Baarsjes - Oud-West,0.4849315068493151
256,1064108,0.17,True,Centrum-West,52.38302,4.8869,Entire home/apt,2,1,1,6,$99.00,7,180,True,1,0,4.75,False,,49.5,693.0,6%,9%,15%,4.99,Centrum-West,0.4794520547945205
257,1068565,0.54,False,IJburg - Zeeburgereiland,52.36064,4.97643,Entire home/apt,4,2,1,1,$135.00,5,30,True,0,0,4.79,False,,33.75,675.0,8%,13%,20%,4.99,IJburg - Zeeburgereiland,0.4328767123287671
258,1069142,0.99,False,Centrum-West,52.37228,4.89668,Private room,4,1,2,6,$186.00,2,1125,True,7,6,4.47,True,,46.5,372.0,7%,18%,17%,4.99,Centrum-West,0.8465753424657534
